company,expiry date,strike price,stock price,margin,iscall,lot,call ltp,call bid price,call bid quantity,put ltp,put bid price,put bid quantity,percentage change in price,% margin
ACC,25-Feb-2021,1380.0,1721.4,63555.0,P,500,0.0,328.2,11500.0,0.0,0.2,3000.0,-19.832694318577907,0.0
MCDOWELL-N,25-Feb-2021,690.0,580.15,84962.5,C,1250,2.75,1.8,1250.0,0.0,97.95,3750.0,18.934758252176167,4.04590260409004
EXIDEIND,25-Feb-2021,185.0,203.3,124506.0,P,3600,0.0,21.0,18000.0,2.9,2.85,3600.0,-9.001475651746194,8.385138065635392
EXIDEIND,25-Feb-2021,187.5,203.3,133821.0,P,3600,0.0,13.1,10800.0,0.0,1.15,3600.0,-7.7717658632562765,0.0
MCDOWELL-N,25-Feb-2021,680.0,580.15,88900.0,C,1250,3.55,3.4,1250.0,0.0,88.3,6250.0,17.211066103593904,4.991563554555681
EXIDEIND,25-Feb-2021,190.0,203.3,143100.0,P,3600,19.3,17.55,7200.0,4.25,4.15,3600.0,-6.54205607476636,10.69182389937107
EXIDEIND,25-Feb-2021,192.5,203.3,152415.0,P,3600,0.0,10.9,3600.0,0.0,0.3,7200.0,-5.312346286276444,0.0
MCDOWELL-N,25-Feb-2021,670.0,580.15,92837.5,C,1250,4.5,4.0,1250.0,0.0,78.7,7500.0,15.487373955011641,6.058974013733675
EXIDEIND,25-Feb-2021,182.5,203.3,115191.0,P,3600,0.0,18.1,10800.0,0.0,0.55,3600.0,-10.231185440236109,0.0
EXIDEIND,25-Feb-2021,215.0,203.3,152514.0,C,3600,5.8,5.8,3600.0,16.5,16.75,3600.0,5.755041810132803,13.690546441638144
MCDOWELL-N,25-Feb-2021,660.0,580.15,96775.0,C,1250,5.0,5.0,1250.0,0.0,68.75,7500.0,13.763681806429377,6.458279514337381
EXIDEIND,25-Feb-2021,220.0,203.3,135180.0,C,3600,4.65,4.55,10800.0,0.0,13.2,18000.0,8.214461387112635,12.383488681757656
MCDOWELL-N,25-Feb-2021,650.0,580.15,100712.5,C,1250,6.05,6.1,1250.0,0.0,58.95,1250.0,12.039989657847112,7.508998386496215
EXIDEIND,25-Feb-2021,222.5,203.3,126495.0,C,3600,0.0,2.25,3600.0,0.0,15.9,10800.0,9.444171175602552,0.0
EXIDEIND,25-Feb-2021,225.0,203.3,136314.0,C,3600,3.7,3.55,3600.0,0.0,18.1,18000.0,10.673880964092469,9.771556846692196
MCDOWELL-N,25-Feb-2021,640.0,580.15,106525.0,C,1250,7.2,7.05,2500.0,0.0,63.1,1250.0,10.31629750926485,8.448720957521708
EXIDEIND,25-Feb-2021,227.5,203.3,118845.0,C,3600,0.0,0.9,3600.0,0.0,20.9,10800.0,11.903590752582383,0.0
EXIDEIND,25-Feb-2021,217.5,203.3,143865.0,C,3600,0.0,1.35,82800.0,0.0,10.75,10800.0,6.9847515986227195,0.0
EXIDEIND,25-Feb-2021,180.0,203.3,110412.0,P,3600,24.85,23.5,7200.0,2.0,1.85,7200.0,-11.460895228726026,6.521030322791001
MFSL,25-Feb-2021,580.0,716.05,150995.0,P,1300,0.0,121.25,3900.0,0.0,0.1,3900.0,-19.000069827526005,0.0
EXIDEIND,25-Feb-2021,177.5,203.3,106929.0,P,3600,0.0,23.05,10800.0,0.0,0.9,3600.0,-12.690605017215942,0.0
ESCORTS,25-Feb-2021,1580.0,1401.95,146905.0,C,550,0.0,11.0,550.0,0.0,152.1,1650.0,12.70016762366703,0.0
MFSL,25-Feb-2021,640.0,716.05,194935.0,P,1300,0.0,72.7,2600.0,7.0,6.0,1300.0,-10.620766706235592,4.668222740913638
ESCORTS,25-Feb-2021,1600.0,1401.95,129497.5,C,550,11.3,11.35,1650.0,0.0,171.7,12650.0,14.126752023966615,4.7993204502017415
ESCORTS,25-Feb-2021,1620.0,1401.95,133292.5,C,550,0.0,0.6,550.0,0.0,187.5,12650.0,15.553336424266199,0.0
MFSL,25-Feb-2021,630.0,716.05,181480.0,P,1300,0.0,84.85,3900.0,0.0,0.5,2600.0,-12.017317226450661,0.0
ESCORTS,25-Feb-2021,1640.0,1401.95,126907.0,C,550,0.0,0.6,550.0,0.0,210.9,12650.0,16.97992082456578,0.0
ESCORTS,25-Feb-2021,1660.0,1401.95,120956.0,C,550,0.0,0.55,4400.0,0.0,231.0,1650.0,18.406505224865363,0.0
MFSL,25-Feb-2021,620.0,716.05,171184.0,P,1300,0.0,83.25,3900.0,0.0,1.5,1300.0,-13.41386774666573,0.0
ESCORTS,25-Feb-2021,1680.0,1401.95,117370.0,C,550,0.0,1.0,550.0,0.0,249.1,1650.0,19.833089625164945,0.0
MFSL,25-Feb-2021,610.0,716.05,166179.0,P,1300,0.0,95.55,3900.0,0.0,0.1,3900.0,-14.810418266880799,0.0
EXIDEIND,25-Feb-2021,165.0,203.3,89154.0,P,3600,0.0,35.25,10800.0,0.0,0.4,3600.0,-18.839153959665524,0.0
EXIDEIND,25-Feb-2021,167.5,203.3,92565.0,P,3600,0.0,33.0,10800.0,0.0,0.1,21600.0,-17.609444171175607,0.0
EXIDEIND,25-Feb-2021,170.0,203.3,96444.0,P,3600,0.0,30.6,10800.0,0.85,0.85,3600.0,-16.37973438268569,3.1728256812243374
MFSL,25-Feb-2021,600.0,716.05,161174.0,P,1300,0.0,105.25,3900.0,0.0,0.15,3900.0,-16.206968787095867,0.0
EXIDEIND,25-Feb-2021,172.5,203.3,99459.0,P,3600,0.0,28.0,10800.0,0.0,0.15,3600.0,-15.150024594195774,0.0
EXIDEIND,25-Feb-2021,175.0,203.3,103482.0,P,3600,0.0,25.55,10800.0,1.35,1.3,3600.0,-13.920314805705857,4.696468951121934
MFSL,25-Feb-2021,590.0,716.05,156299.0,P,1300,0.0,113.9,3900.0,0.0,0.1,3900.0,-17.603519307310936,0.0
MCDOWELL-N,25-Feb-2021,630.0,580.15,118575.0,C,1250,8.75,8.5,2500.0,0.0,54.05,1250.0,8.592605360682587,9.224119755429053
ESCORTS,25-Feb-2021,1560.0,1401.95,154148.5,C,550,14.55,14.05,550.0,0.0,132.15,1650.0,11.27358322336745,5.191422556820209
EXIDEIND,25-Feb-2021,230.0,203.3,112644.0,C,3600,2.75,2.75,3600.0,0.0,23.2,14400.0,13.133300541072302,8.788750399488654
MCDOWELL-N,25-Feb-2021,620.0,580.15,130550.0,C,1250,10.85,10.6,1250.0,0.0,46.55,1250.0,6.868913212100323,10.388739946380698
FEDERALBNK,25-Feb-2021,77.0,83.45,178850.0,P,10000,9.75,8.1,10000.0,1.55,1.5,100000.0,-7.729179149191136,8.666480290746435
MCDOWELL-N,25-Feb-2021,490.0,580.15,75362.5,P,1250,0.0,84.9,3750.0,0.0,0.2,5000.0,-15.539084719469098,0.0
FEDERALBNK,25-Feb-2021,78.0,83.45,189200.0,P,10000,7.1,7.15,20000.0,1.85,1.75,10000.0,-6.530856800479332,9.778012684989429
FEDERALBNK,25-Feb-2021,79.0,83.45,199550.0,P,10000,6.45,6.7,10000.0,2.15,2.0,40000.0,-5.332534451767529,10.774242044600351
MCDOWELL-N,25-Feb-2021,480.0,580.15,70912.5,P,1250,0.0,95.05,3750.0,1.0,0.2,6250.0,-17.262776868051365,1.7627357659086902
FEDERALBNK,25-Feb-2021,88.0,83.45,242400.0,C,10000,2.4,2.4,10000.0,6.5,6.55,30000.0,5.452366686638702,9.900990099009901
MCDOWELL-N,25-Feb-2021,470.0,580.15,65737.5,P,1250,0.0,104.3,3750.0,0.0,0.2,5000.0,-18.986469016633624,0.0
MCDOWELL-N,25-Feb-2021,500.0,580.15,80625.0,P,1250,0.0,75.25,3750.0,1.65,1.7,1250.0,-13.815392570886836,2.558139534883721
FEDERALBNK,25-Feb-2021,89.0,83.45,233150.0,C,10000,2.05,2.05,80000.0,0.0,6.1,70000.0,6.6506890353505055,8.792622775037529
FEDERALBNK,25-Feb-2021,91.0,83.45,214650.0,C,10000,1.65,1.65,10000.0,0.0,6.05,50000.0,9.047333732774113,7.686932215234102
MARUTI,25-Feb-2021,8900.0,7500.0,109449.0,C,100,29.8,26.45,100.0,0.0,1250.2,300.0,18.666666666666668,2.7227293077140953
FEDERALBNK,25-Feb-2021,92.0,83.45,205200.0,C,10000,1.4,1.4,30000.0,0.0,7.1,10000.0,10.245656081485915,6.822612085769981
FEDERALBNK,25-Feb-2021,93.0,83.45,195550.0,C,10000,1.75,1.1,10000.0,0.0,8.0,10000.0,11.443978430197719,8.949117872666838
MARUTI,25-Feb-2021,8800.0,7500.0,112599.0,C,100,32.85,31.2,200.0,0.0,1161.45,300.0,17.333333333333336,2.9174326592598514
FEDERALBNK,25-Feb-2021,94.0,83.45,200500.0,C,10000,1.15,1.1,10000.0,0.0,9.05,10000.0,12.642300778909524,5.7356608478802995
FEDERALBNK,25-Feb-2021,95.0,83.45,176450.0,C,10000,1.0,0.95,140000.0,0.0,10.1,40000.0,13.840623127621326,5.667327854916407
FEDERALBNK,25-Feb-2021,90.0,83.45,223900.0,C,10000,1.9,1.85,40000.0,8.35,8.0,40000.0,7.849011384062308,8.485931219294327
FEDERALBNK,25-Feb-2021,76.0,83.45,168500.0,P,10000,9.3,8.8,10000.0,1.4,1.25,50000.0,-8.927501497902938,8.308605341246292
FEDERALBNK,25-Feb-2021,75.0,83.45,158150.0,P,10000,9.25,9.65,20000.0,1.1,1.1,10000.0,-10.125823846614743,6.955422067657287
FEDERALBNK,25-Feb-2021,74.0,83.45,151800.0,P,10000,11.0,10.25,50000.0,0.95,0.9,60000.0,-11.324146195326545,6.258234519104084
EXIDEIND,25-Feb-2021,235.0,203.3,115614.0,C,3600,2.25,2.15,3600.0,0.0,28.4,10800.0,15.592720118052133,7.006071929005138
EXIDEIND,25-Feb-2021,237.5,203.3,104517.0,C,3600,0.0,1.05,3600.0,0.0,30.85,10800.0,16.822429906542048,0.0
EXIDEIND,25-Feb-2021,240.0,203.3,101376.0,C,3600,1.95,1.9,3600.0,0.0,28.75,82800.0,18.052139695031965,6.924715909090909
MCDOWELL-N,25-Feb-2021,610.0,580.15,142337.5,C,1250,13.2,13.1,1250.0,40.9,38.85,1250.0,5.14522106351806,11.592166505664354
EXIDEIND,25-Feb-2021,242.5,203.3,98955.0,C,3600,0.0,0.75,36000.0,0.0,35.45,10800.0,19.28184948352188,0.0
MCDOWELL-N,25-Feb-2021,550.0,580.15,113925.0,P,1250,46.45,41.75,1250.0,9.15,9.15,1250.0,-5.1969318279755194,10.039499670836076
