company,expiry date,strike price,stock price,margin,iscall,lot,call ltp,call bid price,call bid quantity,put ltp,put bid price,put bid quantity,percentage change in price,% margin
ZEEL,25-Feb-2021,265.0,224.7,181305.0,C,3000,0.0,3.0,3000.0,,,,17.935024477080557,0.0
GODREJCP,25-Feb-2021,680.0,739.6,107240.0,P,1000,,,,17.9,9.5,1000.0,-8.058409951325043,16.69153301007087
GODREJCP,25-Feb-2021,670.0,739.6,99380.0,P,1000,,,,17.0,6.2,1000.0,-9.410492157923205,17.106057556852484
GODREJCP,25-Feb-2021,650.0,739.6,89480.0,P,1000,,,,15.0,3.2,1000.0,-12.114656571119527,16.76352257487707
GMRINFRA,25-Feb-2021,31.0,26.65,101812.5,C,22500,0.0,0.1,112500.0,,,,16.32270168855535,0.0
GMRINFRA,25-Feb-2021,30.0,26.65,114525.0,C,22500,0.0,0.3,67500.0,,,,12.570356472795503,0.0
GMRINFRA,25-Feb-2021,29.0,26.65,128137.5,C,22500,0.0,0.2,112500.0,,,,8.818011257035653,0.0
GMRINFRA,25-Feb-2021,28.0,26.65,142875.0,C,22500,0.0,0.5,45000.0,,,,5.0656660412758026,0.0
GMRINFRA,25-Feb-2021,25.0,26.65,128812.5,P,22500,,,,2.0,0.95,22500.0,-6.1913696060037475,34.93449781659389
GMRINFRA,25-Feb-2021,24.0,26.65,110475.0,P,22500,,,,3.85,0.6,67500.0,-9.943714821763598,78.41140529531569
GMRINFRA,25-Feb-2021,23.0,26.65,93262.5,P,22500,,,,0.0,0.1,67500.0,-13.696060037523447,0.0
PVR,25-Feb-2021,1600.0,1341.9,146202.54,C,407,0.0,10.05,407.0,,,,19.233922050823452,0.0
GMRINFRA,25-Feb-2021,22.0,26.65,82575.0,P,22500,,,,2.35,0.2,45000.0,-17.448405253283298,64.03269754768392
GLENMARK,25-Feb-2021,590.0,502.95,141519.0,C,1150,0.0,0.0,0.0,,,,17.3078834874242,0.0
GLENMARK,25-Feb-2021,580.0,502.95,148879.0,C,1150,0.0,0.0,0.0,,,,15.319614275772942,0.0
GLENMARK,25-Feb-2021,570.0,502.95,156503.5,C,1150,0.0,0.0,0.0,,,,13.331345064121686,0.0
GLENMARK,25-Feb-2021,560.0,502.95,164507.5,C,1150,0.0,0.0,0.0,,,,11.343075852470427,0.0
GLENMARK,25-Feb-2021,550.0,502.95,172753.0,C,1150,0.0,0.0,0.0,,,,9.354806640819168,0.0
GLENMARK,25-Feb-2021,540.0,502.95,181401.0,C,1150,0.0,0.0,0.0,,,,7.366537429167912,0.0
GLENMARK,25-Feb-2021,530.0,502.95,190302.0,C,1150,0.0,0.0,0.0,,,,5.378268217516654,0.0
GLENMARK,25-Feb-2021,470.0,502.95,191440.5,P,1150,,,,0.0,0.0,0.0,-6.551347052390892,0.0
RBLBANK,25-Feb-2021,185.0,231.1,138866.5,P,2900,,,,0.0,1.25,2900.0,-19.948074426655126,0.0
GLENMARK,25-Feb-2021,460.0,502.95,180262.5,P,1150,,,,0.0,0.0,0.0,-8.539616264042149,0.0
GLENMARK,25-Feb-2021,600.0,502.95,134469.5,C,1150,0.0,3.25,4600.0,,,,19.29615269907546,0.0
GLENMARK,25-Feb-2021,450.0,502.95,169314.5,P,1150,,,,0.0,0.0,0.0,-10.527885475693406,0.0
GODREJCP,25-Feb-2021,700.0,739.6,123860.0,P,1000,,,,0.0,13.0,1000.0,-5.354245538128721,0.0
PVR,25-Feb-2021,1200.0,1341.9,177252.57,P,407,,,,0.0,60.0,407.0,-10.574558461882413,0.0
POWERGRID,25-Feb-2021,180.0,189.75,108320.0,P,4000,,,,0.0,0.1,4000.0,-5.138339920948617,0.0
POWERGRID,25-Feb-2021,200.0,189.75,119600.0,C,4000,0.0,4.0,4000.0,,,,5.401844532279315,0.0
POWERGRID,25-Feb-2021,202.5,189.75,124910.0,C,4000,0.0,0.1,4000.0,,,,6.719367588932807,0.0
POWERGRID,25-Feb-2021,205.0,189.75,106340.0,C,4000,0.0,0.1,4000.0,,,,8.036890645586297,0.0
GRASIM,25-Feb-2021,880.0,932.95,296162.5,P,950,,,,0.0,0.0,0.0,-5.675545313253663,0.0
POWERGRID,25-Feb-2021,207.5,189.75,100290.0,C,4000,0.0,0.1,4000.0,,,,9.354413702239789,0.0
GRASIM,25-Feb-2021,860.0,932.95,277124.5,P,950,,,,0.0,0.0,0.0,-7.819282919770624,0.0
POWERGRID,25-Feb-2021,210.0,189.75,95040.0,C,4000,0.0,0.1,4000.0,,,,10.67193675889328,0.0
GRASIM,25-Feb-2021,840.0,932.95,258884.5,P,950,,,,15.0,0.5,950.0,-9.963020526287588,5.504385160177608
POWERGRID,25-Feb-2021,212.5,189.75,103430.0,C,4000,0.0,0.1,4000.0,,,,11.989459815546773,0.0
PVR,25-Feb-2021,1500.0,1341.9,173809.35,C,407,0.0,31.5,407.0,,,,11.781801922646986,0.0
GRASIM,25-Feb-2021,820.0,932.95,241585.0,P,950,,,,0.0,0.0,0.0,-12.106758132804549,0.0
POWERGRID,25-Feb-2021,217.5,189.75,94330.0,C,4000,0.0,0.1,4000.0,,,,14.624505928853754,0.0
GRASIM,25-Feb-2021,800.0,932.95,230232.5,P,950,,,,0.0,0.0,0.0,-14.250495739321511,0.0
POWERGRID,25-Feb-2021,220.0,189.75,77960.0,C,4000,0.0,0.25,4000.0,,,,15.942028985507244,0.0
POWERGRID,25-Feb-2021,222.5,189.75,86350.0,C,4000,0.0,0.1,4000.0,,,,17.25955204216074,0.0
POWERGRID,25-Feb-2021,225.0,189.75,82860.0,C,4000,0.0,0.1,4000.0,,,,18.57707509881423,0.0
POWERGRID,25-Feb-2021,227.5,189.75,79290.0,C,4000,0.0,0.1,4000.0,,,,19.894598155467722,0.0
PVR,25-Feb-2021,1100.0,1341.9,138933.52,P,407,,,,39.9,40.55,407.0,-18.02667859005888,11.688539957815797
GODREJPROP,25-Feb-2021,1600.0,1430.0,220083.5,C,650,0.0,0.1,650.0,,,,11.888111888111888,0.0
PVR,25-Feb-2021,1150.0,1341.9,157883.44,P,407,,,,0.0,0.0,0.0,-14.300618525970643,0.0
GODREJPROP,25-Feb-2021,1300.0,1430.0,202345.0,P,650,,,,0.0,0.0,0.0,-9.090909090909092,0.0
POWERGRID,25-Feb-2021,215.0,189.75,98860.0,C,4000,0.0,0.1,4000.0,,,,13.306982872200262,0.0
POWERGRID,25-Feb-2021,177.5,189.75,100170.0,P,4000,,,,0.0,0.1,4000.0,-6.455862977602108,0.0
RBLBANK,25-Feb-2021,190.0,231.1,145667.0,P,2900,,,,6.7,5.5,5800.0,-17.78450887061878,13.338642245669918
GLENMARK,25-Feb-2021,430.0,502.95,147936.0,P,1150,,,,0.0,0.0,0.0,-14.504423898995922,0.0
RBLBANK,25-Feb-2021,270.0,231.1,188964.0,C,2900,0.0,1.1,20300.0,,,,16.83254002596279,0.0
FEDERALBNK,25-Feb-2021,78.0,68.0,159600.0,C,10000,0.0,0.05,10000.0,,,,14.705882352941178,0.0
FEDERALBNK,25-Feb-2021,77.0,68.0,164650.0,C,10000,0.0,0.05,10000.0,,,,13.23529411764706,0.0
RBLBANK,25-Feb-2021,275.0,231.1,180713.5,C,2900,0.0,0.0,0.0,,,,18.99610558199914,0.0
FEDERALBNK,25-Feb-2021,76.0,68.0,170100.0,C,10000,0.0,0.05,10000.0,,,,11.76470588235294,0.0
RECLTD,25-Feb-2021,107.5,134.2,92535.0,P,6000,,,,0.0,0.1,6000.0,-19.895678092399397,0.0
FEDERALBNK,25-Feb-2021,75.0,68.0,156050.0,C,10000,0.0,2.5,10000.0,,,,10.294117647058822,0.0
FEDERALBNK,25-Feb-2021,74.0,68.0,162100.0,C,10000,0.0,0.1,10000.0,,,,8.823529411764707,0.0
FEDERALBNK,25-Feb-2021,73.0,68.0,168650.0,C,10000,0.0,0.1,10000.0,,,,7.352941176470589,0.0
FEDERALBNK,25-Feb-2021,72.0,68.0,175600.0,C,10000,0.0,0.1,10000.0,,,,5.88235294117647,0.0
FEDERALBNK,25-Feb-2021,79.0,68.0,154650.0,C,10000,0.0,0.1,10000.0,,,,16.176470588235293,0.0
RECLTD,25-Feb-2021,110.0,134.2,97560.0,P,6000,,,,0.0,0.3,6000.0,-18.032786885245894,0.0
FEDERALBNK,25-Feb-2021,63.0,68.0,168950.0,P,10000,,,,0.0,0.1,10000.0,-7.352941176470589,0.0
FEDERALBNK,25-Feb-2021,62.0,68.0,160100.0,P,10000,,,,0.0,0.1,10000.0,-8.823529411764707,0.0
RECLTD,25-Feb-2021,112.5,134.2,105645.0,P,6000,,,,0.0,0.35,6000.0,-16.16989567809239,0.0
FEDERALBNK,25-Feb-2021,61.0,68.0,150950.0,P,10000,,,,1.8,0.1,10000.0,-10.294117647058822,11.924478304074198
